StockNo,VIN,Year,Make,Model,Trim,Condition,Mileage,InventorySince,AgeinDays,InternetPrice,MSRP,InvoicePrice,ExteriorColor,InteriorColor,Location,ShowroomTitle,Options,Type,Length,SleepingCapacity,FuelType,AirConditioners,Awnings,LevelingJacks,Serial.No,Status,LotName,Storename,LocationDescription
"25550","573FR3624J3318321","2018","GRAND DESIGN","REFLECTION","320MKS","NEW","0","20 FEB 18","155","49,995.00","62,464.00","43,182.43","","CAPPUCCINO","HMD","2018 GRAND DESIGN REFLECTION 3","REFLECTION PEACE OF MIND PACKA^^REFLECTION ULTIMATE POWER PACK^^REFLECTION ARCTIC 4 SEASONS PA^^2' RECEIVER HITCH^^2ND AWNING^^12' SIDE BY SIDE REFER UPGRADE^^WINTERIZATION^^FREE STANDING TABLE AND CHAIRS^^2AC^^RVIA SEAL^^DIXIE","5TH WHEEL","32","0","","0","YES","NO","J3318321","A","HAMMOND","HAMMOND",""
"25553A","5ZT2WCTB7JB400759","2018","FOREST RIVER","WILDCAT","282KBD","USED","","21 APR 18","95","29,995.00","34,961.00","20,212.31","","","LFT","2018 FOREST RIVER WILDCAT 282K","","TRAVEL TRAILER","0","0","","0","NO","NO","","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"25558","573FR3428J3407926","2018","GRAND DESIGN","REFLECTION","295RL","NEW","0","19 FEB 18","156","38,995.00","48,869.00","33,118.91","","CAPPUCCINO","CLE","2018 GRAND DESIGN REFLECTION 2","REFLECTION 150-SERIES PEACE OF^^REFLECTION 150-SERIES POWER PA^^REFLECTION 150-SERIES ARTIC 4-^^50 AMP SERVICE-WIRED & FRAMED^^2' RECEIVER HITCH^^FREE STANDING TABLE & CHAIRS 1^^2AC^^RVIA SEAL^^WINTERIZATION^^DIXIE","5TH WHEEL","29","0","","0","NO","NO","J3407926","A","CALERA","CALERA",""
"25560","573TR3622J3318479","2018","GRAND DESIGN","REFLECTION","285BHTS","NEW","0","02 MAR 18","145","37,995.00","47,393.00","31,756.13","","CAPPUCCINO","CLE","2018 GRAND DESIGN REFLECTION 2","REFLECTION TRAVEL TRAILER PEAC^^REFLECTION TRAVEL TRAILER ULTI^^REFLECTION TRAVEL TRAILER 4 SE^^2' RECEIVER HITCH^^WINTERIZATION^^BOOTH DINETTE^^2ND A/C 15K BTU^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","28","0","","0","NO","NO","J3318479","A","CALERA","CALERA",""
"25563","573FR3525J3407882","2018","GRAND DESIGN","REFLECTION","290BH","NEW","0","15 FEB 18","160","36,995.00","46,756.00","31,609.91","","CAPPUCCINO","CLE","2018 GRAND DESIGN REFLECTION 2","REFLECTION 150-SERIES PEACE OF^^REFLECTION 150-SERIES POWER PA^^REFLECTION 150-SERIES ARTIC 4-^^WINTERIZATION^^2' RECEIVER HITCH^^50 AMP SERVICE-WIRED & FRAMED^^BOOTH DINETTE^^2AC^^RVIA SEAL^^DIXIE","5TH WHEEL","29","0","","0","NO","NO","J3407882","A","CALERA","CALERA",""
"25565","7HHFC3921JV006461","2018","VANLEIGH RV","BEACON","38RLB","NEW","0","05 APR 18","111","94,995.00","121,435.00","81,581.38","SUNLIT SAND","COFFEE","HMD","2018 VANLEIGH RV BEACON 38RLB","AMBER GLAZE^^3RD AC^^HEAT PUMP^^RVIA SEAL^^DIXIE","5TH WHEEL","38","0","","0","NO","NO","JV006461","A","HAMMOND","HAMMOND",""
"25572","573TE322XJ6608887","2018","GRAND DESIGN","IMAGINE","2800BH","NEW","0","12 FEB 18","163","29,995.00","38,563.00","25,045.99","","CAPPUCCINO","HMD","2018 GRAND DESIGN IMAGINE 2800","IMAGINE PEACE OF MIND PACKAGE^^IMAGINE ULTIMATE POWER PACKAGE^^IMAGINE ARTIC 4 SEASONS PROTEC^^WINTERIZATION^^BOOTH DINETTE^^THEATER SEATING^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","28","0","","0","NO","NO","J6608887","A","HAMMOND","HAMMOND",""
"25584","4YDT18519JW250780","2018","KEYSTONE RV","HIDEOUT","185LHS","NEW","0","07 MAR 18","140","11,995.00","17,774.00","13,581.43","","CONNECTICUT","LFT","2018 KEYSTONE RV HIDEOUT 185LH","SELECT PACKAGE^^4 STABLILZER JACKS^^14' SPARE TIRE KIT^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","18","0","","0","NO","NO","JW250780","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"25585","4YDT18510JW250781","2018","KEYSTONE RV","HIDEOUT","185LHS","NEW","0","07 MAR 18","140","11,995.00","17,774.00","13,309.09","","CONNECTICUT","LFT","2018 KEYSTONE RV HIDEOUT 185LH","SELECT PACKAGE^^4 STABLILZER JACKS^^14' SPARE TIRE KIT^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","18","0","","0","NO","NO","JW250781","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"25586","4YDT18513JW250774","2018","KEYSTONE RV","HIDEOUT","185LHS","NEW","0","07 MAR 18","140","11,995.00","17,774.00","13,306.93","","CONNECTICUT","LFT","2018 KEYSTONE RV HIDEOUT 185LH","SELECT PACKAGE^^4 STABLILZER JACKS^^14' SPARE TIRE KIT^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","18","0","","0","NO","NO","JW250774","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"25591","4YDT18510JW250778","2018","KEYSTONE RV","HIDEOUT","185LHS","NEW","0","15 MAR 18","132","11,995.00","17,236.50","12,573.87","","CONNECTICUT","CLE","2018 KEYSTONE RV HIDEOUT 185LH","SELECT PACKAGE^^4 STABLILZER JACKS^^14' SPARE TIRE KIT^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","18","0","","0","NO","NO","JW250778","A","CALERA","CALERA",""
"25592","4YDT18512JW250779","2018","KEYSTONE RV","HIDEOUT","185LHS","NEW","0","15 MAR 18","132","11,995.00","17,236.50","12,573.87","","CONNECTICUT","CLE","2018 KEYSTONE RV HIDEOUT 185LH","SELECT PACKAGE^^4 STABLILZER JACKS^^14' SPARE TIRE KIT^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","18","0","","0","NO","NO","JW250779","A","CALERA","CALERA",""
"25593","4YDT19227J7249737","2018","KEYSTONE RV","HIDEOUT","192LHS","NEW","0","15 FEB 18","160","14,995.00","20,884.00","15,017.12","","CEDAR","CLE","2018 KEYSTONE RV HIDEOUT 192LH","COMFORT PACKAGE^^ELECTRIC AWNING^^4 STABLILZER JACKS^^CENTRAL VACUUM^^14' SPARE TIRE KIT^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","19","0","","0","YES","NO","J7249737","A","CALERA","CALERA",""
"25597","4YDF26R25J7250271","2018","KEYSTONE RV","HIDEOUT","262RES","NEW","0","02 MAR 18","145","28,995.00","41,797.00","27,914.59","","CEDAR","CLE","2018 KEYSTONE RV HIDEOUT 262RE","PLATINUM PACKAGE^^HIDEOUT LUXURY PACKAGE^^RADIAL TIRES^^6GALLON GAS/ELEC WATER HEATER^^DOUBLE DOOR REFER^^OUTSIDE SPEAKERS^^EXTERIOR SHOWER^^TINTED SAFETY GLASS^^CARBON MONOXIDE DETECTOR^^ELECTRIC AWNING^^XL ENTRY ASSIST HANDLE^^COLD MOUNTAIN PACKAGE^^50' LED TV^^CENTRAL VACUUM^^ELECTRIC REAR STABLIZER JACKS^^15.0 BTU A/C DUCTED^^ALUMINUM WHEELS^^15' SPARE TIRE KIT^^50 AMP SERVICE/WIRE AND BRACE^^2ND A/C^^EXTERIOR LADDER^^RVIA SEAL^^DIXIE","5TH WHEEL","26","0","","0","YES","NO","J7250271","A","CALERA","CALERA",""
"25599","1UJBJ0BM9J1JL0537","2018","JAYCO","JAY FEATHER","23RL","NEW","0","16 FEB 18","159","23,415.00","32,122.00","21,188.37","","SADDLE","ABB","2018 JAYCO JAY FEATHER 23RL","CUSTOMER VALUE PACKAGE^^SINK COVER/DRYER RACK^^TV, 32'^^A/C 15K BTU ROOK MOUNT^^JACK, TONGUE ELECTRIC^^UNDERBELLY, ENCL W/ ASTFL INSU^^RIMS, ALUMINUM (4)^^GRILL, EXTERIOR^^LADDER, ROOF^^SOFA, TRI-FOLD^^DIXIE","TRAVEL TRAILER","23","0","","0","NO","NO","J1JL0537","A","ACADIANA","ACADIANA",""
"25608B","4UZ6LMEB0YCF85920","2000","TIFFIN","ZEPHYR","42","USED","46737","18 JUN 18","37","37,456.00","63,500.00","23,000.00","","","CLE","2000 TIFFIN ZEPHYR 42","","CLASS A MH","0","0","","0","NO","NO","4UZ6LMEB0YCF85920","A","CALERA","CALERA",""
"25613","4YDT18517JW250776","2018","KEYSTONE RV","HIDEOUT","185LHS","NEW","0","07 MAR 18","140","11,995.00","17,904.00","13,298.01","","CONNECTICUT","HMD","2018 KEYSTONE RV HIDEOUT 185LH","SELECT PACKAGE^^4 STABLILZER JACKS^^14' SPARE TIRE KIT^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","18","0","","0","NO","NO","JW250776","A","HAMMOND","HAMMOND",""
"25614","4YDT18515JW250775","2018","KEYSTONE RV","HIDEOUT","185LHS","NEW","0","08 MAR 18","139","11,995.00","17,904.00","13,760.76","","CONNECTICUT","HMD","2018 KEYSTONE RV HIDEOUT 185LH","SELECT PACKAGE^^4 STABLILZER JACKS^^14' SPARE TIRE KIT^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","18","0","","0","NO","NO","JW250775","A","HAMMOND","HAMMOND",""
"25620","4YDT2522XJ7250189","2018","KEYSTONE RV","HIDEOUT","252LHS","NEW","0","19 FEB 18","156","17,995.00","26,339.00","18,326.13","","TIMBER","HMD","2018 KEYSTONE RV HIDEOUT 252LH","COMFORT PACKAGE^^ELECTRIC AWNING^^4 STABLILZER JACKS^^CENTRAL VACUUM^^14' SPARE TIRE KIT^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","25","0","","0","YES","NO","J7250189","A","HAMMOND","HAMMOND",""
"25621","4YDT25224J7250186","2018","KEYSTONE RV","HIDEOUT","252LHS","NEW","0","19 FEB 18","156","17,995.00","26,339.00","18,384.97","","TIMBER","HMD","2018 KEYSTONE RV HIDEOUT 252LH","COMFORT PACKAGE^^ELECTRIC AWNING^^4 STABLILZER JACKS^^CENTRAL VACUUM^^14' SPARE TIRE KIT^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","25","0","","0","YES","NO","J7250186","A","HAMMOND","HAMMOND",""
"25622","4YDT19225J7249736","2018","KEYSTONE RV","HIDEOUT","192LHS","NEW","0","16 FEB 18","159","14,995.00","21,329.00","15,094.13","","CEDAR","HMD","2018 KEYSTONE RV HIDEOUT 192LH","COMFORT PACKAGE^^ELECTRIC AWNING^^4 STABLILZER JACKS^^CENTRAL VACUUM^^14' SPARE TIRE KIT^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","19","0","","0","YES","NO","J7249736","A","HAMMOND","HAMMOND",""
"25624","1FDWS8PV4JKA24873","2018","THOR","COMPASS","23TR","NEW","314","28 FEB 18","147","72,995.00","111,350.00","69,649.52","SHOOTING STAR","MOONLIGHT","HMD","2018 THOR COMPASS 23TR","BEECHWOOD CABINETRY^^13.5 LOW PROFILE A/C W/ HEAT P^^DIXIE","CLASS B MH","23","0","","0","NO","NO","RTF23TR0007538","A","HAMMOND","HAMMOND",""
"25627","4YDF26R27J7250272","2018","KEYSTONE RV","HIDEOUT","262RES","NEW","0","22 FEB 18","153","28,995.00","42,372.00","28,394.13","","CEDAR","ABB","2018 KEYSTONE RV HIDEOUT 262RE","PLATINUM PACKAGE^^HIDEOUT LUXURY PACKAGE^^RADIAL TIRES^^6GALLON GAS/ELEC WATER HEATER^^DOUBLE DOOR REFER^^OUTSIDE SPEAKERS^^EXTERIOR SHOWER^^TINTED SAFETY GLASS^^CARBON MONOXIDE DETECTOR^^ELECTRIC AWNING^^XL ENTRY ASSIST HANDLE^^COLD MOUNTAIN PACKAGE^^50' LED TELEVISION^^CENTRAL VACUUM^^ELECTRIC REAR STABLIZER JACKS^^15.0 BTU A/C DUCTED^^ALUMINUM WHEELS^^15' SPARE TIRE KIT^^50 AMP SERVICE/WIRE AND BRACE^^2ND A/C^^EXTERIOR LADDER^^RVIA SEAL^^DIXIE","5TH WHEEL","26","0","","0","YES","NO","J7250272","A","ACADIANA","ACADIANA",""
"25628","4YDT27D28J7249955","2018","KEYSTONE RV","HIDEOUT","27DBS","NEW","0","16 FEB 18","159","19,995.00","30,514.00","20,459.37","","TIMBER","ABB","2018 KEYSTONE RV HIDEOUT 27DBS","HIDEOUT LUXURY PACKAGE^^COLD MOUNTAIN PACKAGE^^PRESTIGE PACKAGE^^CENTRAL VACUUM^^TV W/QUICK DISCONNECT^^RADIAL TIRES^^6GALLON GAS/ELEC WATER HEATER^^TUB SURROUND^^14' SPARE TIRE KIT^^15.0 BTU A/C DUCTED^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","27","0","","0","NO","NO","J7249955","A","ACADIANA","ACADIANA",""
"25638B","4UZACWBS5BCBA7201","2011","FLEETWOOD","DISCOVERY","36J","USED","45676","16 JUL 18","9","139,995.00","139,995.00","115,841.04","","","HMD","2011 FLEETWOOD DISCOVERY 36J","","CLASS A MH","0","0","","0","NO","NO","4UZACWBS5BCBA7201","A","HAMMOND","HAMMOND",""
"25640A","573FM4337F1104265","2015","GRAND DESIGN","MOMENTUM","385TH","USED","0","04 JUL 18","21","56,995.00","56,995.00","42,771.38","","","HMD","2015 GRAND DESIGN MOMENTUM 385","","5TH WHEEL TOY HAULER","0","0","","0","NO","NO","","A","HAMMOND","HAMMOND",""
"25642","1F66F5DY3J0A14517","2018","TIFFIN","ALLEGRO","36LA","NEW","459","02 MAR 18","145","0.00","180,824.65","126,669.25","MAROON CORAL","RAW SILK","HMD","2018 TIFFIN ALLEGRO 36LA","RIDE ASSIST - SUMMO SUSPENSION^^7.0 ONAN GENERATOR^^15 HP FRT^^PREP FOR SOLAR PANEL^^MAROON CORAL FULL BODY PAINT^^RAW SILK INTERIOR^^BROWN SUGAR ULTRA LEATHER^^BACKSPLASH UPGRADE^^MOCHA CABINETRY^^RENAISSANCE MALTA FLOOR TILE^^PREWIRE FOR TRAVELER SATELLITE^^WINEGARD CONNECT^^2000W PURE SINE INVTR UPGRADE^^POWER DRIVERS WINDOW^^EXT TV^^FRONT OVERHEAD TV^^IN DASH NAVIGATION SYSTEM^^CB ANTENNA^^PWR DS/PS SEAT ULTRA L PS^^CENTRAL VACUUM SYSTEM^^STACKED WASHER/DRYER^^OVEN/CONVECTION MICROWAVE^^RES REFER W/4 BATT AND ICE^^ULTRA LTHR BOOTH DINETTE^^ULTRA THR SLEEPER AIR COIL^^FIREPLACE^^BEDROOM CEILING FAN^^DROP DOWN BUNK^^FORD CHASSIS","CLASS A MH","36","0","","0","NO","NO","36LA0109080184807","A","HAMMOND","HAMMOND",""
"25655","573TT3222K8800042","2019","GRAND DESIGN","TRANSCEND","27BHS","NEW","0","19 FEB 18","156","32,105.00","32,105.00","22,484.83","","GUNMETAL","LFT","2019 GRAND DESIGN TRANSCEND 27","TRANSCEND RISE ABOVE PACKAGE^^TRANSCEND ECLIPSE PACKAGE^^TRANSCEND EXTENDED SEASONS PRO^^WINTERIZATION^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","27","0","","0","NO","NO","K8800042","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"25656","573TT3227K8800120","2019","GRAND DESIGN","TRANSCEND","27BHS","NEW","0","08 MAR 18","139","31,790.00","31,790.00","21,157.37","","GUNMETAL","CLE","2019 GRAND DESIGN TRANSCEND 27","TRANSCEND RISE ABOVE PACKAGE^^TRANSCEND ECLIPSE PACKAGE^^TRANSCEND EXTENDED SEASONS PRO^^WINTERIZATION^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","27","0","","0","NO","NO","K8800120","A","CALERA","CALERA",""
"25668","1F66F5DYXJ0A14546","2018","TIFFIN","ALLEGRO","36LA","NEW","436","05 MAR 18","142","0.00","182,020.90","127,494.25","WHITE MAHOGANY","RAW SILK","HMD","2018 TIFFIN ALLEGRO 36LA","FORD 24000 CHASSIS 22.5 WHEELS^^RIDE ASSIST - SUMMO SUSPENSION^^7.0 ONAN GENERATOR^^15 HP FRT^^PREP FOR SOLAR PANEL^^WHITE MAHOGANY FULL BODY PAINT^^RAW SILK INTERIOR^^BROWN SUGAR ULTRA LEATHER^^BACKSPLASH UPGRADE^^MOCHA CABINETRY^^RENAISSANCE MALTA FLOOR TILE^^IN MOTION SAT^^WINEGARD CONNECT^^2000W PURE SINE INVTR UPGRADE^^POWER DRIVERS WINDOW^^EXT TV^^FRONT OVERHEAD TV^^IN DASH NAVIGATION SYSTEM^^CB ANTENNA^^PWR DS/PS SEAT ULTRA L PS^^CENTRAL VACUUM SYSTEM^^STACKED WASHER/DRYER^^OVEN/CONVECTION MICROWAVE^^RES REFER W/4 BATT AND ICE^^ULTRA LTHR BOOTH DINETTE^^ULTRA THR SLEEPER AIR COIL^^FIREPLACE^^BEDROOM CEILING FAN^^DROP DOWN BUNK^^FORD CHASSIS","CLASS A MH","36","0","","0","NO","NO","36LA0109079184795","A","HAMMOND","HAMMOND",""
"25670B","1F66F5DY7G0A02945","2016","TIFFIN","ALLEGRO OPEN ROAD","35QBA","USED","25152","03 JUL 18","22","114,995.00","114,995.00","96,974.85","","","HMD","2016 TIFFIN ALLEGRO OPEN ROAD","","CLASS A MH","0","0","","0","NO","NO","1F66F5DY7G0A02945","A","HAMMOND","HAMMOND",""
"25686","5SFPB292XKE385398","2019","HEARTLAND","PROWLER","255LX","NEW","0","09 MAR 18","138","18,995.00","29,735.00","17,380.01","","CABERNET","HMD","2019 HEARTLAND PROWLER 255LX","VALUE PACKAGE^^STABILIZER JACKS^^SPARE TIRE AND CARRIER^^EXTERIOR SHOWER^^POWER AWNING W/LED LIGHTS^^POWER TONGUE JACK^^ENCLOSED UNDERBELLY^^OVEN^^NIGHT SHADES IN LIVING AREA AN^^15 A/C^^WINTERIZATION^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","25","0","","0","YES","NO","KE385398","A","HAMMOND","HAMMOND",""
"25693","5SFPB2921KE385404","2019","HEARTLAND","PROWLER","255LX","NEW","0","12 MAR 18","135","18,995.00","29,735.00","17,265.99","","CABERNET","HMD","2019 HEARTLAND PROWLER 255LX","VALUE PACKAGE^^STABILIZER JACKS^^EXTERIOR SHOWER^^SPARE TIRE AND CARRIER^^POWER AWNING W/LED LIGHTS^^POWER TONGUE JACK^^ENCLOSED UNDERBELLY^^OVEN^^NIGHT SHADES IN LIVING AREA AN^^15 A/C^^WINTERIZATION^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","25","0","","0","YES","NO","KE385404","A","HAMMOND","HAMMOND",""
"25694","5SFPB2923KE385405","2019","HEARTLAND","PROWLER","255LX","NEW","0","12 MAR 18","135","18,995.00","29,735.00","17,380.01","","CABERNET","HMD","2019 HEARTLAND PROWLER 255LX","VALUE PACKAGE^^STABILIZER JACKS^^SPARE TIRE AND CARRIER^^EXTERIOR SHOWER^^POWER AWNING W/LED LIGHTS^^POWER TONGUE JACK^^ENCLOSED UNDERBELLY^^OVEN^^NIGHT SHADES IN LIVING AREA AN^^15 A/C^^WINTERIZATION^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","25","0","","0","YES","NO","KE385405","A","HAMMOND","HAMMOND",""
"25700","5SFPB2920KE385412","2019","HEARTLAND","PROWLER","255LX","NEW","0","06 MAR 18","141","18,995.00","29,290.00","17,116.65","","CABERNET","CLE","2019 HEARTLAND PROWLER 255LX","VALUE PACKAGE^^STABILIZER JACKS^^SPARE TIRE AND CARRIER^^EXTERIOR SHOWER^^POWER AWNING W/LED LIGHTS^^POWER TONGUE JACK^^ENCLOSED UNDERBELLY^^OVEN^^NIGHT SHADES IN LIVING AREA AN^^15 A/C^^WINTERIZATION OF UNIT^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","25","0","","0","YES","NO","KE385412","A","CALERA","CALERA",""
"25753","5SFPB2929KE385411","2019","HEARTLAND","PROWLER","255LX","NEW","0","05 MAR 18","142","18,995.00","29,865.00","17,491.33","","CABERNET","ABB","2019 HEARTLAND PROWLER 255LX","VALUE PACKAGE^^STABILIZER JACKS^^EXTERIOR SHOWER^^SPARE TIRE AND CARRIER^^POWER AWNING W/LED LIGHTS^^POWER TONGUE JACK^^ENCLOSED UNDERBELLY^^OVEN^^NIGHT SHADES IN LIVING AREA AN^^15 A/C^^WINTERIZATION OF UNIT^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","25","0","","0","YES","NO","KE385411","A","ACADIANA","ACADIANA",""
"25757","5SFPB292XKE386051","2019","HEARTLAND","PROWLER","25LX","NEW","0","12 MAR 18","135","14,995.00","23,760.00","15,091.33","","CABERNET","ABB","2019 HEARTLAND PROWLER 25LX","VALUE PACKAGE^^STABILIZER JACKS^^SPARE TIRE AND CARRIER^^EXTERIOR SHOWER^^POWER AWNING W/LED LIGHTS^^ENCLOSED UNDERBELLY^^OVEN^^DOUBLE/DOUBLE REAR BUNK CONFIG^^NIGHT SHADES IN LIVING AREA AN^^15 A/C^^WINTERIZATION OF UNIT^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","25","0","","0","YES","NO","KE386051","A","ACADIANA","ACADIANA",""
"25766A","5ZT2CXVB1EA003413","2014","COACHMEN","APEX","298BHS","USED","0","07 JUN 18","48","16,995.00","16,995.00","12,316.44","","","HMD","2014 COACHMEN APEX 298BHS","","TRAVEL TRAILER","0","0","","0","NO","NO","5ZT2CXVB1EA003413","A","HAMMOND","HAMMOND",""
"25780A","1HD1BXB1X4Y054232","2004","HARLEY DAVIDSON","FATBOY","FATBOY","USED","4577","08 JUN 18","47","0.00","5,995.00","2,500.00","","","HMD","2004 HARLEY DAVIDSON FATBOY FA","","OTHER","0","0","","0","NO","NO","1HD1BXB1X4Y054232","A","HAMMOND","HAMMOND",""
"25785","1FDXE4FS7JDC13615","2018","JAYCO","GREYHAWK","31FSP","NEW","1095","08 MAR 18","139","87,995.00","137,990.00","85,104.74","CELESTIAL BLUE","BRINDLE","HMD","2018 JAYCO GREYHAWK 31FSP","CUSTOMER VALUE PACKAGE^^TV, IN BUNKS^^A/C^^PAINT PKG, CELESTIAL BLUE W/AW^^DIXIE","CLASS C MH","31","0","","0","YES","NO","0J1M40116","A","HAMMOND","HAMMOND",""
"25792","4VZAU1D96KC085207","2019","ENTEGRA","INSIGNIA","44R","NEW","1045","20 APR 18","96","299,999.00","423,521.00","278,362.82","AUTUMN BERRY","AUBURN","ABB","2019 ENTEGRA INSIGNIA 44R","NATURAL CHERRY^^CENTRAL VACUUM SYSTEM^^TV, FRONT OVERHEAD^^SATELLITE DISH, TRAV'LER DIR T^^WI-FI EXTENDER W/4G LTE^^BATTERIES, FOUR^^TRAY, STORAGE SLIDEOUT^^DIXIE","CLASS A MH","44","0","","0","NO","NO","9K11R8055","A","ACADIANA","ACADIANA",""
"25794A","1UJBJ0BU9F1CD0403","2015","JAYCO","EAGLE","338RETS","USED","0","30 MAR 18","117","29,615.00","29,615.00","21,954.93","","","ABB","2015 JAYCO EAGLE 338RETS","","TRAVEL TRAILER","0","0","","0","NO","NO","1UJBJ0BU9F1CD0403","A","ACADIANA","ACADIANA",""
"25795A","5SFNB3222HE337202","2017","HEARTLAND RV","NORTH TRAIL","26LRSS","USED","0","23 MAY 18","63","0.00","22,688.00","14,688.00","","","ABB","2017 HEARTLAND RV NORTH TRAIL","","TRAVEL TRAILER","0","0","","0","NO","NO","5SFNB3222HE337202","A","ACADIANA","ACADIANA",""
"25804","5SFPB2928KE386050","2019","HEARTLAND","PROWLER","25LX","NEW","0","12 MAR 18","135","14,995.00","23,335.00","14,964.54","","CABERNET","LFT","2019 HEARTLAND PROWLER 25LX","VALUE PACKAGE^^STABILIZER JACKS^^SPARE TIRE AND CARRIER^^EXTERIOR SHOWER^^POWER TONGUE JACK^^ENCLOSED UNDERBELLY^^OVEN^^DOUBLE/DOUBLE REAR BUNK CONFIG^^NIGHT SHADES IN LIVING AREA AN^^15 A/C^^WINTERIZATION^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","25","0","","0","NO","NO","KE386050","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"25805","1F66F5DY0J0A09954","2018","THOR","WINDSPORT","34R","NEW","1064.4","27 FEB 18","148","108,995.00","153,793.00","102,506.59","WATER FRONT","FUSION GREY","LFT","2018 THOR WINDSPORT 34R","BRAZILIAN CHERRY^^EXTERIOR - WATER FRONT PARTIAL^^DIXIE","CLASS A MH","34","0","","0","NO","NO","WAR034R0041732","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"25819","7HHFC3921JF006549","2018","VANLEIGH RV","BEACON","39GBB","NEW","0","09 APR 18","107","96,495.00","123,489.00","82,919.31","WATERFALL","COFFEE","CLE","2018 VANLEIGH RV BEACON 39GBB","AMBER GLAZE^^3RD AC^^HEAT PUMP^^RVIA SEAL^^DIXIE","5TH WHEEL","39","0","","0","NO","NO","JF006549","A","CALERA","CALERA",""
"25821","573TE3027J6609823","2018","GRAND DESIGN","IMAGINE","2600RB","NEW","0","19 MAR 18","128","28,905.00","36,158.00","23,455.38","","CAPPUCCINO","HMD","2018 GRAND DESIGN IMAGINE 2600","IMAGINE PEACE OF MIND PACKAGE^^IMAGINE ULTIMATE POWER PACKAGE^^IMAGINE ARTIC 4 SEASONS PROTEC^^WINTERIZATION^^BOOTH DINETTE^^THEATER SEATING^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","26","0","","0","NO","NO","J6609823","A","HAMMOND","HAMMOND",""
"25822A","4YDT21921JD431083","2018","KEYSTONE RV","BULLET CROSSFIRE","2190EX","USED","0","19 MAY 18","67","19,995.00","19,995.00","15,887.25","","","HMD","2018 KEYSTONE RV BULLET CROSSF","","TRAVEL TRAILER","0","0","","0","NO","NO","4YDT21921JD431083","A","HAMMOND","HAMMOND",""
"25825","5SFSG3723JE384936","2018","HEARTLAND","GATEWAY","3200RLS","NEW","0","08 MAR 18","139","48,995.00","72,185.00","42,898.13","","COGNAC","CLE","2018 HEARTLAND GATEWAY 3200RLS","ENTER THE GATEWAY PACKAGE^^GATEWAY COMFORT PACKAGE^^GATEWAY RESIDENTIAL PACKAGE^^6 PT LEVELING SYSTEM AUTO^^KING BED^^ROLLER SHADE^^RESIDENTIAL REFER^^WINTERIZATION^^RVIA^^DIXIE","5TH WHEEL","32","0","","0","NO","NO","JE384936","A","CALERA","CALERA",""
"25827A","1UJBJ0BR6G14W0057","2016","JAYCO","WHITEHAWK","29MEC","USED","0","30 APR 18","86","29,856.00","38,364.00","20,617.74","","","CLE","2016 JAYCO WHITEHAWK 29MEC","","TRAVEL TRAILER","0","0","","0","NO","NO","1UJBJ0BR6G14W0057","A","CALERA","CALERA",""
"25829","573TE3225J6609901","2018","GRAND DESIGN","IMAGINE","2800BH","NEW","0","22 MAR 18","125","29,995.00","38,118.00","24,764.83","","CAPPUCCINO","CLE","2018 GRAND DESIGN IMAGINE 2800","IMAGINE PEACE OF MIND PACKAGE^^IMAGINE ULTIMATE POWER PACKAGE^^IMAGINE ARTIC 4 SEASONS PROTEC^^WINTERIZATION^^BOOTH DINETTE^^THEATER SEATING^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","28","0","","0","NO","NO","J6609901","A","CALERA","CALERA",""
